;betweenness_centrality;closness_centrality
abdsc;34;0,118050217
versus;124;0,117780505
know;248;0,117687115
bigdata;116;0,117381897
datascience statistic;383;0,117148861
accelerant;0;0,11709968
iiot;11;0,116976641
top;168;0,116648989
python;432;0,116537587
new;884;0,116468769
algorithm;45;0,116438099
tutorials;5;0,116406622
free;265;0,116220283
deeplearn;75;0,11621628
big;50;0,116193495
datascience;39;0,116150253
bigdaof;92;0,115878336
bigdata datascience;117;0,115827398
datascience datascientist;8;0,11575831
learn;48;0,115711911
comprehensive;3;0,115475011
predictiveanalytic;6;0,115384156
book;16;0,115266157
neuralnetwork;224;0,115088449
code;9;0,114950121
coding;110;0,114812488
mathematics;86;0,114796152
like;845;0,114750077
iot;12;0,114657385
artificial;0;0,114510608
brilliant;33;0,114433868
amp;234;0,114166504
iotpl;5;0,114147013
dataanalytic;66;0,113723583
tensorflow;22;0,113716792
machinelearning;223;0,113239533
cloudcomput;1;0,113236628
analytic;0;0,112637548
intelligence;4;0,112550095
cassandra;0;0,112474794
artificialintelligence;3;0,112468212
automl;0;0,112227018
artificialintelligence bigdaof cassandra kafka hadoop spark nlp;0;0,112152794
hadoop spark nlp;3;0,111932331
api;0;0,111772106
globalai;0;0,111636501
kubernete globalai;0;0,111613762
r python;0;0,111410868
kafka;0;0,11131337
ravikikan;0;0,111286127
kubernete;0;0,11088553
be neuralnetwork;0;0,110472864
nosql;0;0,110446734
tech emergingtech fintech rpa startup daysofcode artificialintelligence iot cloud robotic femtech;1;0,1103643
reactj;2;0,11011656
datascientist;20;0,10982455
fintech;0;0,109355292
javascript;0;0,109004973
serverless;1;0,108668163
datascience dataanalytic cybersecurity bigdato;0;0,108304217
nlp;0;0,107232429
linux;0;0,106834648
python rstat;2;0,106318306
daysofcode;0;0,106020643
machine;0;0,102661132
techjunkienews;0;0,089294516
yelp yellowpage;270;0,032774827
googlemaps;0;0,031950741
houzz;0;0,031950741
tripadvisor;0;0,031950741
webscrape;0;0,031950741
yell;0;0,031950741
booking;0;0,03153486
email emailslist socialmedia;0;0,022429906
business profiles;0;0,019748502
scrap;0;0,017360823
bulk data;0;0,015769217
sell;0;0,014524424
lead;0;0,014485281
